ac_no,ac_name,total_electors,polling_station,candidate,votes,total_valid_votes,rejected_votes,nota_votes,total_votes_cast,source_pdf
34,,,3(A),Dilip Chandra Ray,0,547.0,0.0,11.0,558.0,34_Form20.pdf
34,,,3(A),SHYAMA SARKAR,3,547.0,0.0,11.0,558.0,34_Form20.pdf
34,,,3(A),SUDHIR SARKAR,7,547.0,0.0,11.0,558.0,34_Form20.pdf
34,,,3(A),SURESH BARMAN,2,547.0,0.0,11.0,558.0,34_Form20.pdf
34,,,4,TAPAN DEB SINGHA,227,429.0,0.0,2.0,431.0,34_Form20.pdf
34,,,4,PRAVASH SARKAR,5,429.0,0.0,2.0,431.0,34_Form20.pdf
34,,,4,SOUMEN ROY,188,429.0,0.0,2.0,431.0,34_Form20.pdf
34,,,4,GOPAL CHUNARY,2,429.0,0.0,2.0,431.0,34_Form20.pdf
34,,,4,NAMALA KANTA SARKAR,0,429.0,0.0,2.0,431.0,34_Form20.pdf
34,,,4,ALEN SARKAR,0,429.0,0.0,2.0,431.0,34_Form20.pdf
34,,,4,Dilip Chandra Ray,0,429.0,0.0,2.0,431.0,34_Form20.pdf
34,,,4,SHYAMA SARKAR,0,429.0,0.0,2.0,431.0,34_Form20.pdf
34,,,4,SUDHIR SARKAR,6,429.0,0.0,2.0,431.0,34_Form20.pdf
34,,,4,SURESH BARMAN,1,429.0,0.0,2.0,431.0,34_Form20.pdf
34,,,4(A),TAPAN DEB SINGHA,261,560.0,0.0,12.0,572.0,34_Form20.pdf
34,,,4(A),PRAVASH SARKAR,10,560.0,0.0,12.0,572.0,34_Form20.pdf
34,,,4(A),SOUMEN ROY,269,560.0,0.0,12.0,572.0,34_Form20.pdf
34,,,4(A),GOPAL CHUNARY,2,560.0,0.0,12.0,572.0,34_Form20.pdf
34,,,4(A),NAMALA KANTA SARKAR,1,560.0,0.0,12.0,572.0,34_Form20.pdf
34,,,4(A),ALEN SARKAR,1,560.0,0.0,12.0,572.0,34_Form20.pdf
34,,,4(A),Dilip Chandra Ray,2,560.0,0.0,12.0,572.0,34_Form20.pdf
34,,,4(A),SHYAMA SARKAR,3,560.0,0.0,12.0,572.0,34_Form20.pdf
34,,,4(A),SUDHIR SARKAR,6,560.0,0.0,12.0,572.0,34_Form20.pdf
34,,,4(A),SURESH BARMAN,5,560.0,0.0,12.0,572.0,34_Form20.pdf
34,,,5,TAPAN DEB SINGHA,339,837.0,0.0,9.0,846.0,34_Form20.pdf
34,,,5,PRAVASH SARKAR,19,837.0,0.0,9.0,846.0,34_Form20.pdf
34,,,5,SOUMEN ROY,457,837.0,0.0,9.0,846.0,34_Form20.pdf
34,,,5,GOPAL CHUNARY,5,837.0,0.0,9.0,846.0,34_Form20.pdf
34,,,5,NAMALA KANTA SARKAR,0,837.0,0.0,9.0,846.0,34_Form20.pdf
34,,,5,ALEN SARKAR,0,837.0,0.0,9.0,846.0,34_Form20.pdf
34,,,5,Dilip Chandra Ray,1,837.0,0.0,9.0,846.0,34_Form20.pdf
34,,,5,SHYAMA SARKAR,1,837.0,0.0,9.0,846.0,34_Form20.pdf
34,,,5,SUDHIR SARKAR,10,837.0,0.0,9.0,846.0,34_Form20.pdf
34,,,5,SURESH BARMAN,5,837.0,0.0,9.0,846.0,34_Form20.pdf
34,,,6,TAPAN DEB SINGHA,174,390.0,0.0,4.0,394.0,34_Form20.pdf
34,,,6,PRAVASH SARKAR,8,390.0,0.0,4.0,394.0,34_Form20.pdf
34,,,6,SOUMEN ROY,199,390.0,0.0,4.0,394.0,34_Form20.pdf
34,,,6,GOPAL CHUNARY,2,390.0,0.0,4.0,394.0,34_Form20.pdf
34,,,6,NAMALA KANTA SARKAR,0,390.0,0.0,4.0,394.0,34_Form20.pdf
34,,,6,ALEN SARKAR,0,390.0,0.0,4.0,394.0,34_Form20.pdf
34,,,6,Dilip Chandra Ray,1,390.0,0.0,4.0,394.0,34_Form20.pdf
34,,,6,SHYAMA SARKAR,1,390.0,0.0,4.0,394.0,34_Form20.pdf
34,,,6,SUDHIR SARKAR,4,390.0,0.0,4.0,394.0,34_Form20.pdf
34,,,6,SURESH BARMAN,1,390.0,0.0,4.0,394.0,34_Form20.pdf
34,,,7,TAPAN DEB SINGHA,272,552.0,0.0,13.0,565.0,34_Form20.pdf
34,,,7,PRAVASH SARKAR,13,552.0,0.0,13.0,565.0,34_Form20.pdf
34,,,7,SOUMEN ROY,248,552.0,0.0,13.0,565.0,34_Form20.pdf
34,,,7,GOPAL CHUNARY,3,552.0,0.0,13.0,565.0,34_Form20.pdf
34,,,7,NAMALA KANTA SARKAR,0,552.0,0.0,13.0,565.0,34_Form20.pdf
34,,,7,ALEN SARKAR,1,552.0,0.0,13.0,565.0,34_Form20.pdf
34,,,7,Dilip Chandra Ray,1,552.0,0.0,13.0,565.0,34_Form20.pdf
34,,,7,SHYAMA SARKAR,1,552.0,0.0,13.0,565.0,34_Form20.pdf
34,,,7,SUDHIR SARKAR,9,552.0,0.0,13.0,565.0,34_Form20.pdf
34,,,7,SURESH BARMAN,4,552.0,0.0,13.0,565.0,34_Form20.pdf
34,,,7(A),TAPAN DEB SINGHA,246,553.0,0.0,5.0,558.0,34_Form20.pdf
34,,,7(A),PRAVASH SARKAR,40,553.0,0.0,5.0,558.0,34_Form20.pdf
34,,,7(A),SOUMEN ROY,258,553.0,0.0,5.0,558.0,34_Form20.pdf
34,,,7(A),GOPAL CHUNARY,0,553.0,0.0,5.0,558.0,34_Form20.pdf
34,,,7(A),NAMALA KANTA SARKAR,1,553.0,0.0,5.0,558.0,34_Form20.pdf
34,,,7(A),ALEN SARKAR,0,553.0,0.0,5.0,558.0,34_Form20.pdf
34,,,7(A),Dilip Chandra Ray,1,553.0,0.0,5.0,558.0,34_Form20.pdf
34,,,7(A),SHYAMA SARKAR,2,553.0,0.0,5.0,558.0,34_Form20.pdf
34,,,7(A),SUDHIR SARKAR,5,553.0,0.0,5.0,558.0,34_Form20.pdf
34,,,7(A),SURESH BARMAN,0,553.0,0.0,5.0,558.0,34_Form20.pdf
34,,,8,TAPAN DEB SINGHA,274,572.0,0.0,10.0,582.0,34_Form20.pdf
34,,,8,PRAVASH SARKAR,3,572.0,0.0,10.0,582.0,34_Form20.pdf
34,,,8,SOUMEN ROY,276,572.0,0.0,10.0,582.0,34_Form20.pdf
34,,,8,GOPAL CHUNARY,1,572.0,0.0,10.0,582.0,34_Form20.pdf
34,,,8,NAMALA KANTA SARKAR,2,572.0,0.0,10.0,582.0,34_Form20.pdf
34,,,8,ALEN SARKAR,3,572.0,0.0,10.0,582.0,34_Form20.pdf
34,,,8,Dilip Chandra Ray,1,572.0,0.0,10.0,582.0,34_Form20.pdf
34,,,8,SHYAMA SARKAR,1,572.0,0.0,10.0,582.0,34_Form20.pdf
34,,,8,SUDHIR SARKAR,10,572.0,0.0,10.0,582.0,34_Form20.pdf
34,,,8,SURESH BARMAN,1,572.0,0.0,10.0,582.0,34_Form20.pdf
34,,,9,TAPAN DEB SINGHA,370,742.0,0.0,6.0,748.0,34_Form20.pdf
34,,,9,PRAVASH SARKAR,9,742.0,0.0,6.0,748.0,34_Form20.pdf
34,,,9,SOUMEN ROY,348,742.0,0.0,6.0,748.0,34_Form20.pdf
34,,,9,GOPAL CHUNARY,8,742.0,0.0,6.0,748.0,34_Form20.pdf
34,,,9,NAMALA KANTA SARKAR,0,742.0,0.0,6.0,748.0,34_Form20.pdf
34,,,9,ALEN SARKAR,0,742.0,0.0,6.0,748.0,34_Form20.pdf
34,,,9,Dilip Chandra Ray,1,742.0,0.0,6.0,748.0,34_Form20.pdf
34,,,9,SHYAMA SARKAR,0,742.0,0.0,6.0,748.0,34_Form20.pdf
34,,,9,SUDHIR SARKAR,6,742.0,0.0,6.0,748.0,34_Form20.pdf
34,,,9,SURESH BARMAN,0,742.0,0.0,6.0,748.0,34_Form20.pdf
34,,,10,TAPAN DEB SINGHA,321,652.0,0.0,7.0,659.0,34_Form20.pdf
34,,,10,PRAVASH SARKAR,61,652.0,0.0,7.0,659.0,34_Form20.pdf
34,,,10,SOUMEN ROY,248,652.0,0.0,7.0,659.0,34_Form20.pdf
34,,,10,GOPAL CHUNARY,3,652.0,0.0,7.0,659.0,34_Form20.pdf
34,,,10,NAMALA KANTA SARKAR,0,652.0,0.0,7.0,659.0,34_Form20.pdf
34,,,10,ALEN SARKAR,0,652.0,0.0,7.0,659.0,34_Form20.pdf
34,,,10,Dilip Chandra Ray,1,652.0,0.0,7.0,659.0,34_Form20.pdf
34,,,10,SHYAMA SARKAR,4,652.0,0.0,7.0,659.0,34_Form20.pdf
34,,,10,SUDHIR SARKAR,9,652.0,0.0,7.0,659.0,34_Form20.pdf
34,,,10,SURESH BARMAN,5,652.0,0.0,7.0,659.0,34_Form20.pdf
34,,,11,TAPAN DEB SINGHA,313,614.0,0.0,13.0,627.0,34_Form20.pdf
34,,,11,PRAVASH SARKAR,35,614.0,0.0,13.0,627.0,34_Form20.pdf
34,,,11,SOUMEN ROY,246,614.0,0.0,13.0,627.0,34_Form20.pdf
34,,,11,GOPAL CHUNARY,3,614.0,0.0,13.0,627.0,34_Form20.pdf
34,,,11,NAMALA KANTA SARKAR,4,614.0,0.0,13.0,627.0,34_Form20.pdf
34,,,11,ALEN SARKAR,1,614.0,0.0,13.0,627.0,34_Form20.pdf
34,,,11,Dilip Chandra Ray,1,614.0,0.0,13.0,627.0,34_Form20.pdf
34,,,11,SHYAMA SARKAR,0,614.0,0.0,13.0,627.0,34_Form20.pdf
34,,,11,SUDHIR SARKAR,8,614.0,0.0,13.0,627.0,34_Form20.pdf
34,,,11,SURESH BARMAN,3,614.0,0.0,13.0,627.0,34_Form20.pdf
34,,,12,TAPAN DEB SINGHA,210,674.0,0.0,3.0,677.0,34_Form20.pdf
34,,,12,PRAVASH SARKAR,118,674.0,0.0,3.0,677.0,34_Form20.pdf
34,,,12,SOUMEN ROY,301,674.0,0.0,3.0,677.0,34_Form20.pdf
34,,,12,GOPAL CHUNARY,3,674.0,0.0,3.0,677.0,34_Form20.pdf
34,,,12,NAMALA KANTA SARKAR,4,674.0,0.0,3.0,677.0,34_Form20.pdf
34,,,12,ALEN SARKAR,2,674.0,0.0,3.0,677.0,34_Form20.pdf
34,,,12,Dilip Chandra Ray,1,674.0,0.0,3.0,677.0,34_Form20.pdf
34,,,12,SHYAMA SARKAR,5,674.0,0.0,3.0,677.0,34_Form20.pdf
34,,,12,SUDHIR SARKAR,29,674.0,0.0,3.0,677.0,34_Form20.pdf
34,,,12,SURESH BARMAN,1,674.0,0.0,3.0,677.0,34_Form20.pdf
34,,,13,TAPAN DEB SINGHA,233,565.0,0.0,9.0,574.0,34_Form20.pdf
34,,,13,PRAVASH SARKAR,42,565.0,0.0,9.0,574.0,34_Form20.pdf
34,,,13,SOUMEN ROY,252,565.0,0.0,9.0,574.0,34_Form20.pdf
34,,,13,GOPAL CHUNARY,0,565.0,0.0,9.0,574.0,34_Form20.pdf
34,,,13,NAMALA KANTA SARKAR,1,565.0,0.0,9.0,574.0,34_Form20.pdf
34,,,13,ALEN SARKAR,3,565.0,0.0,9.0,574.0,34_Form20.pdf
34,,,13,Dilip Chandra Ray,2,565.0,0.0,9.0,574.0,34_Form20.pdf
34,,,13,SHYAMA SARKAR,4,565.0,0.0,9.0,574.0,34_Form20.pdf
34,,,13,SUDHIR SARKAR,21,565.0,0.0,9.0,574.0,34_Form20.pdf
34,,,13,SURESH BARMAN,7,565.0,0.0,9.0,574.0,34_Form20.pdf
34,,,13(A),TAPAN DEB SINGHA,257,566.0,0.0,10.0,576.0,34_Form20.pdf
34,,,13(A),PRAVASH SARKAR,65,566.0,0.0,10.0,576.0,34_Form20.pdf
34,,,13(A),SOUMEN ROY,206,566.0,0.0,10.0,576.0,34_Form20.pdf
34,,,13(A),GOPAL CHUNARY,3,566.0,0.0,10.0,576.0,34_Form20.pdf
34,,,13(A),NAMALA KANTA SARKAR,1,566.0,0.0,10.0,576.0,34_Form20.pdf
34,,,13(A),ALEN SARKAR,0,566.0,0.0,10.0,576.0,34_Form20.pdf
34,,,13(A),Dilip Chandra Ray,2,566.0,0.0,10.0,576.0,34_Form20.pdf
34,,,13(A),SHYAMA SARKAR,0,566.0,0.0,10.0,576.0,34_Form20.pdf
34,,,13(A),SUDHIR SARKAR,27,566.0,0.0,10.0,576.0,34_Form20.pdf
34,,,13(A),SURESH BARMAN,5,566.0,0.0,10.0,576.0,34_Form20.pdf
34,,,14,TAPAN DEB SINGHA,265,734.0,0.0,4.0,738.0,34_Form20.pdf
34,,,14,PRAVASH SARKAR,14,734.0,0.0,4.0,738.0,34_Form20.pdf
34,,,14,SOUMEN ROY,434,734.0,0.0,4.0,738.0,34_Form20.pdf
34,,,14,GOPAL CHUNARY,2,734.0,0.0,4.0,738.0,34_Form20.pdf
34,,,14,NAMALA KANTA SARKAR,2,734.0,0.0,4.0,738.0,34_Form20.pdf
34,,,14,ALEN SARKAR,0,734.0,0.0,4.0,738.0,34_Form20.pdf
34,,,14,Dilip Chandra Ray,0,734.0,0.0,4.0,738.0,34_Form20.pdf
34,,,14,SHYAMA SARKAR,3,734.0,0.0,4.0,738.0,34_Form20.pdf
34,,,14,SUDHIR SARKAR,12,734.0,0.0,4.0,738.0,34_Form20.pdf
34,,,14,SURESH BARMAN,2,734.0,0.0,4.0,738.0,34_Form20.pdf
34,,,15,TAPAN DEB SINGHA,346,569.0,0.0,8.0,577.0,34_Form20.pdf
34,,,15,PRAVASH SARKAR,15,569.0,0.0,8.0,577.0,34_Form20.pdf
34,,,15,SOUMEN ROY,193,569.0,0.0,8.0,577.0,34_Form20.pdf
34,,,15,GOPAL CHUNARY,0,569.0,0.0,8.0,577.0,34_Form20.pdf
34,,,15,NAMALA KANTA SARKAR,0,569.0,0.0,8.0,577.0,34_Form20.pdf
34,,,15,ALEN SARKAR,1,569.0,0.0,8.0,577.0,34_Form20.pdf
34,,,15,Dilip Chandra Ray,0,569.0,0.0,8.0,577.0,34_Form20.pdf
34,,,15,SHYAMA SARKAR,3,569.0,0.0,8.0,577.0,34_Form20.pdf
34,,,15,SUDHIR SARKAR,7,569.0,0.0,8.0,577.0,34_Form20.pdf
34,,,15,SURESH BARMAN,3,569.0,0.0,8.0,577.0,34_Form20.pdf
34,,,16,TAPAN DEB SINGHA,182,523.0,0.0,7.0,530.0,34_Form20.pdf
34,,,16,PRAVASH SARKAR,21,523.0,0.0,7.0,530.0,34_Form20.pdf
34,,,16,SOUMEN ROY,299,523.0,0.0,7.0,530.0,34_Form20.pdf
34,,,16,GOPAL CHUNARY,0,523.0,0.0,7.0,530.0,34_Form20.pdf
34,,,16,NAMALA KANTA SARKAR,0,523.0,0.0,7.0,530.0,34_Form20.pdf
34,,,16,ALEN SARKAR,5,523.0,0.0,7.0,530.0,34_Form20.pdf
34,,,16,Dilip Chandra Ray,4,523.0,0.0,7.0,530.0,34_Form20.pdf
34,,,16,SHYAMA SARKAR,3,523.0,0.0,7.0,530.0,34_Form20.pdf
34,,,16,SUDHIR SARKAR,6,523.0,0.0,7.0,530.0,34_Form20.pdf
34,,,16,SURESH BARMAN,3,523.0,0.0,7.0,530.0,34_Form20.pdf
34,,,16(A),TAPAN DEB SINGHA,175,458.0,0.0,4.0,462.0,34_Form20.pdf
34,,,16(A),PRAVASH SARKAR,45,458.0,0.0,4.0,462.0,34_Form20.pdf
34,,,16(A),SOUMEN ROY,226,458.0,0.0,4.0,462.0,34_Form20.pdf
34,,,16(A),GOPAL CHUNARY,2,458.0,0.0,4.0,462.0,34_Form20.pdf
34,,,16(A),NAMALA KANTA SARKAR,1,458.0,0.0,4.0,462.0,34_Form20.pdf
34,,,16(A),ALEN SARKAR,2,458.0,0.0,4.0,462.0,34_Form20.pdf
34,,,16(A),Dilip Chandra Ray,0,458.0,0.0,4.0,462.0,34_Form20.pdf
34,,,16(A),SHYAMA SARKAR,1,458.0,0.0,4.0,462.0,34_Form20.pdf
34,,,16(A),SUDHIR SARKAR,4,458.0,0.0,4.0,462.0,34_Form20.pdf
34,,,16(A),SURESH BARMAN,2,458.0,0.0,4.0,462.0,34_Form20.pdf
34,,,17,TAPAN DEB SINGHA,232,492.0,0.0,8.0,500.0,34_Form20.pdf
34,,,17,PRAVASH SARKAR,16,492.0,0.0,8.0,500.0,34_Form20.pdf
34,,,17,SOUMEN ROY,220,492.0,0.0,8.0,500.0,34_Form20.pdf
34,,,17,GOPAL CHUNARY,6,492.0,0.0,8.0,500.0,34_Form20.pdf
34,,,17,NAMALA KANTA SARKAR,0,492.0,0.0,8.0,500.0,34_Form20.pdf
34,,,17,ALEN SARKAR,1,492.0,0.0,8.0,500.0,34_Form20.pdf
34,,,17,Dilip Chandra Ray,1,492.0,0.0,8.0,500.0,34_Form20.pdf
34,,,17,SHYAMA SARKAR,2,492.0,0.0,8.0,500.0,34_Form20.pdf
34,,,17,SUDHIR SARKAR,8,492.0,0.0,8.0,500.0,34_Form20.pdf
34,,,17,SURESH BARMAN,6,492.0,0.0,8.0,500.0,34_Form20.pdf
34,,,17(A),TAPAN DEB SINGHA,258,603.0,0.0,12.0,615.0,34_Form20.pdf
34,,,17(A),PRAVASH SARKAR,42,603.0,0.0,12.0,615.0,34_Form20.pdf
34,,,17(A),SOUMEN ROY,279,603.0,0.0,12.0,615.0,34_Form20.pdf
34,,,17(A),GOPAL CHUNARY,1,603.0,0.0,12.0,615.0,34_Form20.pdf
34,,,17(A),NAMALA KANTA SARKAR,0,603.0,0.0,12.0,615.0,34_Form20.pdf
34,,,17(A),ALEN SARKAR,1,603.0,0.0,12.0,615.0,34_Form20.pdf
34,,,17(A),Dilip Chandra Ray,1,603.0,0.0,12.0,615.0,34_Form20.pdf
34,,,17(A),SHYAMA SARKAR,2,603.0,0.0,12.0,615.0,34_Form20.pdf
34,,,17(A),SUDHIR SARKAR,15,603.0,0.0,12.0,615.0,34_Form20.pdf
34,,,17(A),SURESH BARMAN,4,603.0,0.0,12.0,615.0,34_Form20.pdf
34,,,18,TAPAN DEB SINGHA,229,595.0,0.0,7.0,602.0,34_Form20.pdf
34,,,18,PRAVASH SARKAR,42,595.0,0.0,7.0,602.0,34_Form20.pdf
34,,,18,SOUMEN ROY,305,595.0,0.0,7.0,602.0,34_Form20.pdf
34,,,18,GOPAL CHUNARY,4,595.0,0.0,7.0,602.0,34_Form20.pdf
34,,,18,NAMALA KANTA SARKAR,1,595.0,0.0,7.0,602.0,34_Form20.pdf
34,,,18,ALEN SARKAR,0,595.0,0.0,7.0,602.0,34_Form20.pdf
34,,,18,Dilip Chandra Ray,4,595.0,0.0,7.0,602.0,34_Form20.pdf
34,,,18,SHYAMA SARKAR,3,595.0,0.0,7.0,602.0,34_Form20.pdf
34,,,18,SUDHIR SARKAR,3,595.0,0.0,7.0,602.0,34_Form20.pdf
34,,,18,SURESH BARMAN,4,595.0,0.0,7.0,602.0,34_Form20.pdf
34,,,18(A),TAPAN DEB SINGHA,193,614.0,0.0,8.0,622.0,34_Form20.pdf
34,,,18(A),PRAVASH SARKAR,32,614.0,0.0,8.0,622.0,34_Form20.pdf
34,,,18(A),SOUMEN ROY,368,614.0,0.0,8.0,622.0,34_Form20.pdf
34,,,18(A),GOPAL CHUNARY,3,614.0,0.0,8.0,622.0,34_Form20.pdf
34,,,18(A),NAMALA KANTA SARKAR,1,614.0,0.0,8.0,622.0,34_Form20.pdf
34,,,18(A),ALEN SARKAR,0,614.0,0.0,8.0,622.0,34_Form20.pdf
34,,,18(A),Dilip Chandra Ray,1,614.0,0.0,8.0,622.0,34_Form20.pdf
34,,,18(A),SHYAMA SARKAR,4,614.0,0.0,8.0,622.0,34_Form20.pdf
34,,,18(A),SUDHIR SARKAR,6,614.0,0.0,8.0,622.0,34_Form20.pdf
34,,,18(A),SURESH BARMAN,6,614.0,0.0,8.0,622.0,34_Form20.pdf
34,,,19,TAPAN DEB SINGHA,233,503.0,0.0,4.0,507.0,34_Form20.pdf
34,,,19,PRAVASH SARKAR,18,503.0,0.0,4.0,507.0,34_Form20.pdf
34,,,19,SOUMEN ROY,229,503.0,0.0,4.0,507.0,34_Form20.pdf
34,,,19,GOPAL CHUNARY,6,503.0,0.0,4.0,507.0,34_Form20.pdf
34,,,19,NAMALA KANTA SARKAR,1,503.0,0.0,4.0,507.0,34_Form20.pdf
34,,,19,ALEN SARKAR,0,503.0,0.0,4.0,507.0,34_Form20.pdf
34,,,19,Dilip Chandra Ray,0,503.0,0.0,4.0,507.0,34_Form20.pdf
34,,,19,SHYAMA SARKAR,2,503.0,0.0,4.0,507.0,34_Form20.pdf
34,,,19,SUDHIR SARKAR,10,503.0,0.0,4.0,507.0,34_Form20.pdf
34,,,19,SURESH BARMAN,4,503.0,0.0,4.0,507.0,34_Form20.pdf
34,,,19(A),TAPAN DEB SINGHA,239,477.0,0.0,9.0,486.0,34_Form20.pdf
34,,,19(A),PRAVASH SARKAR,10,477.0,0.0,9.0,486.0,34_Form20.pdf
34,,,19(A),SOUMEN ROY,217,477.0,0.0,9.0,486.0,34_Form20.pdf
34,,,19(A),GOPAL CHUNARY,0,477.0,0.0,9.0,486.0,34_Form20.pdf
34,,,19(A),NAMALA KANTA SARKAR,0,477.0,0.0,9.0,486.0,34_Form20.pdf
34,,,19(A),ALEN SARKAR,0,477.0,0.0,9.0,486.0,34_Form20.pdf
34,,,19(A),Dilip Chandra Ray,1,477.0,0.0,9.0,486.0,34_Form20.pdf
34,,,19(A),SHYAMA SARKAR,0,477.0,0.0,9.0,486.0,34_Form20.pdf
34,,,19(A),SUDHIR SARKAR,8,477.0,0.0,9.0,486.0,34_Form20.pdf
34,,,19(A),SURESH BARMAN,2,477.0,0.0,9.0,486.0,34_Form20.pdf
34,,,20,TAPAN DEB SINGHA,388,664.0,0.0,5.0,669.0,34_Form20.pdf
34,,,20,PRAVASH SARKAR,88,664.0,0.0,5.0,669.0,34_Form20.pdf
34,,,20,SOUMEN ROY,175,664.0,0.0,5.0,669.0,34_Form20.pdf
34,,,20,GOPAL CHUNARY,0,664.0,0.0,5.0,669.0,34_Form20.pdf
34,,,20,NAMALA KANTA SARKAR,2,664.0,0.0,5.0,669.0,34_Form20.pdf
34,,,20,ALEN SARKAR,0,664.0,0.0,5.0,669.0,34_Form20.pdf
34,,,20,Dilip Chandra Ray,0,664.0,0.0,5.0,669.0,34_Form20.pdf
34,,,20,SHYAMA SARKAR,1,664.0,0.0,5.0,669.0,34_Form20.pdf
34,,,20,SUDHIR SARKAR,8,664.0,0.0,5.0,669.0,34_Form20.pdf
34,,,20,SURESH BARMAN,2,664.0,0.0,5.0,669.0,34_Form20.pdf
34,,,21,TAPAN DEB SINGHA,216,545.0,0.0,7.0,552.0,34_Form20.pdf
34,,,21,PRAVASH SARKAR,25,545.0,0.0,7.0,552.0,34_Form20.pdf
34,,,21,SOUMEN ROY,291,545.0,0.0,7.0,552.0,34_Form20.pdf
34,,,21,GOPAL CHUNARY,1,545.0,0.0,7.0,552.0,34_Form20.pdf
34,,,21,NAMALA KANTA SARKAR,1,545.0,0.0,7.0,552.0,34_Form20.pdf
34,,,21,ALEN SARKAR,0,545.0,0.0,7.0,552.0,34_Form20.pdf
34,,,21,Dilip Chandra Ray,0,545.0,0.0,7.0,552.0,34_Form20.pdf
34,,,21,SHYAMA SARKAR,2,545.0,0.0,7.0,552.0,34_Form20.pdf
34,,,21,SUDHIR SARKAR,6,545.0,0.0,7.0,552.0,34_Form20.pdf
34,,,21,SURESH BARMAN,3,545.0,0.0,7.0,552.0,34_Form20.pdf
34,,,21(A),TAPAN DEB SINGHA,148,580.0,0.0,7.0,587.0,34_Form20.pdf
34,,,21(A),PRAVASH SARKAR,12,580.0,0.0,7.0,587.0,34_Form20.pdf
34,,,21(A),SOUMEN ROY,394,580.0,0.0,7.0,587.0,34_Form20.pdf
34,,,21(A),GOPAL CHUNARY,2,580.0,0.0,7.0,587.0,34_Form20.pdf
34,,,21(A),NAMALA KANTA SARKAR,2,580.0,0.0,7.0,587.0,34_Form20.pdf
34,,,21(A),ALEN SARKAR,2,580.0,0.0,7.0,587.0,34_Form20.pdf
34,,,21(A),Dilip Chandra Ray,1,580.0,0.0,7.0,587.0,34_Form20.pdf
34,,,21(A),SHYAMA SARKAR,5,580.0,0.0,7.0,587.0,34_Form20.pdf
