source_pdf,error
50_Form20.pdf,50_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
51_Form20.pdf,51_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
52_Form20.pdf,52_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
53_Form20.pdf,53_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
54_Form20.pdf,54_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
55_Form20.pdf,55_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
57_Form20.pdf,57_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
63_Form20.pdf,63_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
71_Form20.pdf,71_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
72_Form20.pdf,72_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
75_Form20.pdf,75_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
76_Form20.pdf,76_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
78_Form20.pdf,78_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
80_Form20.pdf,80_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
81_Form20.pdf,81_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
82_Form20.pdf,82_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
83_Form20.pdf,83_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
84_Form20.pdf,84_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
86_Form20.pdf,86_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
88_Form20.pdf,88_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
91_Form20.pdf,91_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
94_Form20.pdf,94_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
97_Form20.pdf,97_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
101_Form20.pdf,101_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
102_Form20.pdf,102_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
103_Form20.pdf,103_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
104_Form20.pdf,104_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
105_Form20.pdf,105_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
106_Form20.pdf,106_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
107_Form20.pdf,107_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
108_Form20.pdf,108_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
109_Form20.pdf,109_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
110_Form20.pdf,110_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
112_Form20.pdf,112_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
113_Form20.pdf,113_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
114_Form20.pdf,114_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
115_Form20.pdf,115_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
119_Form20.pdf,119_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
127_Form20.pdf,127_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
128_Form20.pdf,128_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
129_Form20.pdf,129_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
130_Form20.pdf,130_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
131_Form20.pdf,131_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
133_Form20.pdf,133_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
134_Form20.pdf,134_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
136_Form20.pdf,136_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
139_Form20.pdf,139_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
140_Form20.pdf,140_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
141_Form20.pdf,141_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
142_Form20.pdf,142_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
146_Form20.pdf,146_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
147_Form20.pdf,147_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
148_Form20.pdf,148_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
149_Form20.pdf,149_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
150_Form20.pdf,150_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
152_Form20.pdf,152_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
153_Form20.pdf,153_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
154_Form20.pdf,154_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
156_Form20.pdf,156_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
157_Form20.pdf,157_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
159_Form20.pdf,159_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
160_Form20.pdf,160_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
161_Form20.pdf,161_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
162_Form20.pdf,162_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
164_Form20.pdf,164_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
165_Form20.pdf,165_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
166_Form20.pdf,166_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
168_Form20.pdf,168_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
171_Form20.pdf,171_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
173_Form20.pdf,173_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
174_Form20.pdf,174_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
175_Form20.pdf,175_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
177_Form20.pdf,177_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
178_Form20.pdf,178_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
181_Form20.pdf,181_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
182_Form20.pdf,182_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
183_Form20.pdf,183_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
186_Form20.pdf,186_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
188_Form20.pdf,188_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
189_Form20.pdf,189_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
191_Form20.pdf,191_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
193_Form20.pdf,193_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
197_Form20.pdf,197_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
199_Form20.pdf,199_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
201_Form20.pdf,201_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
205_Form20.pdf,205_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
206_Form20.pdf,206_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
207_Form20.pdf,207_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
209_Form20.pdf,209_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
211_Form20.pdf,211_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
217_Form20.pdf,217_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
218_Form20.pdf,218_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
222_Form20.pdf,222_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
223_Form20.pdf,223_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
224_Form20.pdf,224_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
226_Form20.pdf,226_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
227_Form20.pdf,227_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
228_Form20.pdf,228_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
229_Form20.pdf,229_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
230_Form20.pdf,230_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
231_Form20.pdf,231_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
232_Form20.pdf,232_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
234_Form20.pdf,234_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
235_Form20.pdf,235_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
237_Form20.pdf,237_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
238_Form20.pdf,238_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
247_Form20.pdf,247_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
248_Form20.pdf,248_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
251_Form20.pdf,251_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
252_Form20.pdf,252_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
253_Form20.pdf,253_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
254_Form20.pdf,254_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
255_Form20.pdf,255_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
256_Form20.pdf,256_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
257_Form20.pdf,257_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
258_Form20.pdf,258_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
259_Form20.pdf,259_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
260_Form20.pdf,260_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
262_Form20.pdf,262_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
263_Form20.pdf,263_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
264_Form20.pdf,264_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
265_Form20.pdf,265_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
267_Form20.pdf,267_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
268_Form20.pdf,268_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
270_Form20.pdf,270_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
273_Form20.pdf,273_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
274_Form20.pdf,274_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
278_Form20.pdf,278_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
280_Form20.pdf,280_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
282_Form20.pdf,282_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
285_Form20.pdf,285_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
286_Form20.pdf,286_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
288_Form20.pdf,288_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
289_Form20.pdf,289_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
290_Form20.pdf,290_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
292_Form20.pdf,292_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
293_Form20.pdf,293_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
294_Form20.pdf,294_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
